N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,OM,Fertility
264,7.9,391,7.34,0.61,0.24,3.0,0.25,2.44,0.22,7.44,0.21,0.4128,1
358,7.2,359,7.49,0.67,0.5,2.5,0.26,2.64,0.29,7.55,0.19,0.86,1
320,4.6,422,7.38,0.53,0.76,6.0,0.24,2.74,0.18,7.66,0.07,1.3072,1
126,7.5,444,7.67,0.7,0.74,7.1,0.35,2.43,1.96,7.77,0.1,1.2728,0
333,6.8,327,7.53,0.62,0.38,3.5,0.26,3.44,0.45,7.84,0.12,0.6536,1
213,8.6,348,7.62,0.64,0.15,4.0,0.27,3.45,0.86,8.43,0.13,0.258,0
245,5.9,285,7.61,0.71,0.24,4.8,0.34,2.56,0.1,7.54,0.15,0.4128,0
157,5,401,7.58,0.45,0.21,3.5,0.32,2.67,0.64,7.45,0.19,0.3612,0
213,5.7,507,7.66,0.63,0.47,4.8,0.33,2.74,0.73,7.68,0.18,0.8084,0
82,7.5,391,7.65,0.78,0.76,6.0,0.27,4.44,0.83,7.73,0.21,1.3072,0
195,5.9,422,7.66,0.53,0.74,7.1,0.27,3.44,0.43,8.74,0.25,1.2728,0
100,6.8,560,7.71,0.67,1.03,6.2,0.38,2.45,1.54,8.25,0.07,1.7716,0
238,5.7,454,7.61,0.62,1.09,3.5,0.34,2.56,1.1,7.36,0.14,1.8748,0
213,59.2,539,7.54,0.44,0.82,4.0,0.33,2.67,0.64,7.58,0.1,1.4104,0
6,7.2,285,7.42,0.53,0.82,2.8,0.34,2.68,0.73,7.34,0.12,1.4104,0
257,6.4,243,7.43,0.58,0.26,3.9,0.34,3.74,0.84,8.94,0.13,0.4472,0
188,5.7,317,7.52,0.62,0.29,4.2,0.25,3.43,0.09,8.84,0.08,0.4988,0
144,8.3,296,7.47,0.58,0.53,3.5,0.24,3.43,0.93,7.45,0.09,0.9116,0
238,6.8,327,7.54,0.43,0.79,4.8,0.35,2.44,0.93,7.36,0.09,1.3588,0
157,5,444,7.33,0.59,0.76,6.2,0.34,2.45,0.83,7.98,0.18,1.3072,0
195,6.8,391,7.48,0.37,0.15,3.5,0.23,2.56,0.62,7.35,0.1,0.258,0
63,5.9,454,7.53,0.65,0.12,6.0,0.23,3.43,0.43,8.24,0.18,0.2064,0
238,7.2,444,7.51,0.58,0.1,5.43,0.38,7.05,1.56,8.63,0.73,0.172,0
163,7.5,560,7.43,0.59,0.49,7.54,0.51,4.63,0.85,12.84,0.48,0.8428,0
232,6.1,391,7.47,0.63,0.2,10.26,0.6,8.02,1.53,9.63,0.32,0.344,0
132,6.8,327,7.71,0.61,0.59,5.13,0.79,6.32,1.87,7.51,0.55,1.0148,0
207,7.5,444,7.64,0.44,0.39,8.75,0.53,5.5,1.25,13.25,0.42,0.6708,0
195,8.1,327,7.62,0.62,0.29,6.33,0.48,9.06,0.63,18.54,0.25,0.4988,0
138,6.6,317,7.53,0.53,1.07,11.16,0.35,7.51,0.8,11.69,0.34,1.8404,0
251,7.5,359,7.41,0.51,0.68,4.52,0.29,4.56,1.35,12.58,0.69,1.1696,0
207,6.8,433,7.57,0.62,0.39,8.14,0.62,8.04,1.74,9.63,0.8,0.6708,0
307,7.2,338,7.41,0.42,0.78,11.76,0.47,5.26,0.65,11.53,0.57,1.3416,1
264,5.3,422,7.67,0.63,0.49,6.64,0.51,9.26,0.84,8.56,0.48,0.8428,0
201,7.5,348,7.63,0.43,0.1,5.43,0.38,7.51,1.32,17.59,0.34,0.172,0
257,8.1,444,7.62,0.51,0.59,3.62,0.57,8.02,1.85,9.53,0.42,1.0148,0
144,5,327,7.71,0.71,0.39,7.84,0.36,5.03,0.69,11.06,0.31,0.6708,0
251,5.7,275,7.53,0.54,0.88,9.35,0.47,9.22,1.02,5.09,0.44,1.5136,0
182,7.5,338,7.51,0.61,0.29,2.8,0.24,2.84,0.94,7.73,0.14,0.4988,0
289,14.5,549,7.18,0.64,0.26,3.1,0.23,2.44,0.42,6.74,0.24,0.4472,1
75,8.1,327,7.61,0.51,0.53,4.2,0.25,3.33,0.56,6.75,0.18,0.9116,0
220,9,401,7.67,0.62,0.79,3.5,0.23,2.87,0.47,7.76,0.21,1.3588,0
282,7,401,7.71,0.48,0.18,2.5,0.24,2.48,0.67,7.64,0.1,0.3096,1
195,6.6,391,7.65,0.54,0.24,3.5,0.34,2.43,0.74,4.64,0.12,0.4128,0
