N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,OM,Fertility
226,92.1,655,7.29,0.72,0.1,6.64,0.5,8.05,0.54,14.21,0.4,0.172,1
238,114,708,7.43,0.59,0.88,5.13,0.46,9.26,0.63,6.05,0.55,1.5136,1
182,89.9,454,7.55,0.48,0.68,6.94,0.32,4.15,1.02,7.15,0.67,1.1696,0
182,92.1,697,7.38,0.83,0.39,5.43,0.44,7.52,1.98,15.23,0.52,0.6708,0
213,107.5,612,7.37,0.45,0.39,5.43,0.44,7.52,1.98,15.23,0.52,0.6708,1
226,87.7,708,7.34,0.39,0.88,9.65,0.46,3.5,0.45,13.56,0.34,1.5136,1
213,120.6,623,7.41,0.42,0.49,4.52,0.59,6.53,0.86,3.56,0.55,0.8428,1
333,10.7,444,7.43,0.73,0.49,4.52,0.59,6.53,0.86,3.56,0.55,0.8428,1
238,7.7,454,7.41,0.88,0.29,4.22,0.38,7.05,1.02,7.02,0.69,0.4988,0
201,9.4,697,7.4,0.51,1.17,5.43,0.26,4.35,1.63,9.54,0.53,2.0124,0
195,9.2,454,7.52,0.49,0.88,6.64,0.38,8.36,0.34,4.02,0.32,1.5136,0
270,8.1,444,7.55,0.53,0.29,4.22,0.63,7.02,1.96,11.56,0.29,0.4988,1
195,8.8,454,7.47,0.53,1.07,5.13,0.4,4.96,2.01,3.2,0.53,1.8404,0
213,10.7,771,7.29,0.52,0.68,5.73,0.49,8.51,0.75,15.62,0.36,1.1696,0
201,8.3,697,7.48,0.81,0.2,6.64,0.53,5.6,0.86,11.3,0.63,0.344,0
232,10.7,760,7.35,0.53,0.49,3.92,0.42,9.05,1.32,9.32,0.5,0.8428,0
226,9.2,454,7.44,0.76,0.59,6.64,0.5,6.35,1.5,5.21,0.25,1.0148,0
377,11.2,623,7.8,0.64,0.54,3.8,0.37,0.88,0.31,1.13,0.85,0.9288,2
257,7.5,444,7.47,0.49,0.98,5.43,0.37,7.41,0.8,11.05,0.32,1.6856,0
245,8.3,507,7.42,0.71,1.27,6.33,0.61,8.05,1.32,6.32,0.29,2.1844,0
245,11.4,549,7.65,0.49,1.07,4.22,0.59,4.05,1.87,9.54,0.42,1.8404,0
264,9,486,7.24,0.47,0.59,9.95,0.29,9.35,1.23,11.65,0.34,1.0148,1
276,9.2,370,7.62,0.62,0.59,9.95,0.29,9.35,1.23,11.65,0.34,1.0148,1
320,13.8,391,7.38,0.65,0.68,7.54,0.38,5.41,0.89,9.05,0.63,1.1696,2
264,10.3,475,7.49,0.74,0.1,5.13,0.51,5.8,0.51,7.32,0.21,0.172,0
333,14.9,422,8.26,0.48,1.17,3.32,0.6,7.62,1.02,11.65,0.29,2.0124,2
295,14.5,612,8.4,0.38,0.39,6.94,0.39,6.23,0.63,9.06,0.5,0.6708,1
282,9.2,676,7.95,0.62,0.59,5.43,0.44,4.12,1.32,11.41,0.34,1.0148,1
257,11.6,433,7.58,0.73,0.29,4.22,0.29,3.25,2.1,6.5,0.23,0.4988,0
270,12.1,401,7.47,0.36,0.78,6.64,0.37,5.21,0.86,13.05,0.48,1.3416,1
289,14.5,549,7.18,0.64,0.1,3.92,0.41,7.15,0.75,6.03,0.36,0.172,1
301,13.6,496,7.2,0.6,0.59,8.75,0.59,3.52,1.09,12.05,0.42,1.0148,1
295,12.5,412,7.12,0.37,0.2,4.22,0.36,8.02,1.33,9.21,0.34,0.344,1
276,15.4,433,7.01,0.63,1.17,6.94,0.51,9.06,0.45,4.51,0.63,2.0124,1
326,13.4,454,7.13,0.51,0.88,5.13,0.29,4.85,0.78,9.32,0.27,1.5136,2
270,13.8,845,7.0,0.82,0.1,5.73,0.48,3.06,0.61,10.58,0.5,0.172,1
289,14.7,750,7.01,0.58,0.29,6.33,0.63,8.35,1.53,13.02,0.34,0.4988,1
314,8.3,591,7.0,0.47,0.68,10.86,0.44,4.6,1.96,6.57,0.55,1.1696,1
345,9.9,507,7.0,0.49,0.1,7.24,0.5,6.32,1.55,9.03,0.21,0.172,1
307,6.8,370,7.02,0.66,0.2,5.43,0.68,4.88,0.52,8.51,0.25,0.344,1
339,7.5,475,7.0,0.88,0.98,6.94,0.54,7.15,0.39,10.59,0.34,1.6856,1
314,10.3,676,7.03,0.39,1.07,5.43,0.39,6.23,0.47,2.69,0.5,1.8404,1
333,12.7,887,7.1,0.42,0.88,6.33,0.75,4.96,1.08,12.03,0.59,1.5136,2
351,14.3,560,7.82,0.37,0.39,5.13,0.36,5.51,1.55,9.65,0.27,0.6708,2
358,10.1,602,7.01,0.32,0.68,8.75,0.42,9.23,2.04,14.52,0.55,1.1696,1
301,10.3,412,7.0,0.77,0.98,9.65,0.66,4.53,0.96,10.63,0.5,1.6856,1
326,11.8,444,7.33,0.4,0.1,4.22,0.51,9.03,0.54,6.58,0.67,0.172,2
314,8.1,644,7.41,0.61,0.29,7.54,0.27,4.59,1.05,4.51,0.32,0.4988,1
320,8.6,380,7.94,0.69,0.98,3.92,0.48,7.63,1.78,9.3,0.55,1.6856,1
358,12.9,422,7.02,0.48,1.27,5.43,0.29,3.56,0.63,11.56,0.42,2.1844,2
345,13.6,444,7.85,0.38,0.1,6.33,0.35,8.54,1.02,9.64,0.65,0.172,2
314,14.9,359,7.04,0.43,0.68,5.13,0.17,6.11,,3.74,0.21,1.1696,2
333,13.8,401,7.62,0.51,0.49,3.92,0.26,3.05,1.03,9.05,0.34,0.8428,2
339,8.3,380,7.67,0.32,0.88,5.13,0.33,7.96,1.65,12.47,0.44,1.5136,1
326,10.3,507,7.88,0.71,0.39,8.75,0.21,8.63,2.01,8.63,0.32,0.6708,1
351,10.7,623,7.96,0.51,0.29,7.24,0.36,4.69,0.69,11.03,0.69,0.4988,1
264,9,486,7.24,0.47,0.1,3.92,0.35,8.26,0.45,7.98,0.4,0.172,1
276,9.2,370,7.62,0.62,0.49,6.64,0.42,3.57,0.63,6.48,0.32,0.8428,1
320,13.8,391,7.38,0.65,1.07,5.43,0.58,4.58,1.02,13.25,0.53,1.8404,2
264,10.3,475,7.49,0.74,0.88,10.56,0.45,7.36,1.87,10.63,0.63,1.5136,0
220,8.6,444,7.43,0.65,0.72,11.7,0.37,0.66,0.9,2.19,1.82,1.2384,0
270,8.1,655,7.45,0.55,0.67,10.2,0.28,0.44,1.26,7.75,2.56,1.1524,1
302,8.1,539,7.5211338037170545,0.5410735230206816,0.6104981210215505,5.441344913976021,0.6173831070889895,5.359054554285861,0.818372906920265,10.125103586675872,0.30412692691157284,1.048241659636475,1
302,8.1,539,7.521154523810637,0.5410670955242163,0.6104814163171189,5.436594433173248,0.6177186825816467,5.361836264200396,0.8180710870802538,10.128425229491823,0.3034738867266925,1.048206724407434,1
302,8.1,539,7.52117524390422,0.541060668027751,0.6104647116126873,5.431843952370476,0.618054258074304,5.364617974114931,0.8177692672402426,10.131746872307776,0.3028208465418122,1.0481717891783928,1
302,8.1,539,7.521195963997802,0.5410542405312857,0.6104480069082557,5.427093471567702,0.6183898335669613,5.367399684029466,0.8174674474002315,10.135068515123727,0.30216780635693186,1.0481368539493516,1
302,8.1,539,7.521216684091385,0.5410478130348204,0.6104313022038241,5.422342990764929,0.6187254090596186,5.370181393944001,0.8171656275602204,10.13839015793968,0.3015147661720514,1.0481019187203104,1
303,8.1,539,7.521237404184968,0.5410413855383551,0.6104145974993926,5.417592509962156,0.619060984552276,5.3729631038585355,0.8168638077202093,10.141711800755632,0.3008617259871711,1.0480669834912695,1
303,8.1,539,7.521258124278551,0.5410349580418898,0.610397892794961,5.412842029159383,0.6193965600449333,5.37574481377307,0.8165619878801982,10.145033443571585,0.30020868580229076,1.0480320482622283,1
303,8.1,540,7.521278844372134,0.5410285305454247,0.6103811880905294,5.40809154835661,0.6197321355375905,5.378526523687605,0.816260168040187,10.148355086387536,0.29955564561741044,1.047997113033187,1
303,8.1,540,7.521299564465716,0.5410221030489594,0.6103644833860978,5.4033410675538365,0.6200677110302478,5.381308233602141,0.8159583482001758,10.151676729203489,0.2989026054325301,1.0479621778041461,1
303,8.1,540,7.521320284559299,0.5410156755524941,0.6103477786816662,5.398590586751063,0.6204032865229052,5.384089943516676,0.8156565283601647,10.154998372019442,0.2982495652476498,1.047927242575105,1
303,8.1,540,7.521341004652882,0.5410092480560288,0.6103310739772346,5.39384010594829,0.6207388620155625,5.386871653431211,0.8153547085201536,10.158320014835393,0.29759652506276946,1.0478923073460638,1
303,8.1,540,7.521361724746464,0.5410028205595635,0.610314369272803,5.389089625145517,0.6210744375082198,5.3896533633457455,0.8150528886801425,10.161641657651344,0.29694348487788913,1.0478573721170226,1
303,8.1,540,7.5213824448400475,0.5409963930630982,0.6102976645683714,5.384339144342744,0.6214100130008771,5.39243507326028,0.8147510688401313,10.164963300467297,0.2962904446930088,1.0478224368879816,1
304,8.1,540,7.52140316493363,0.5409899655666329,0.6102809598639398,5.379588663539971,0.6217455884935343,5.395216783174815,0.8144492490001202,10.16828494328325,0.2956374045081285,1.0477875016589404,1
304,8.1,540,7.521423885027213,0.5409835380701676,0.6102642551595083,5.374838182737197,0.6220811639861916,5.39799849308935,0.814147429160109,10.171606586099202,0.29498436432324815,1.0477525664298992,1
304,8.1,540,7.521444605120796,0.5409771105737023,0.6102475504550767,5.370087701934424,0.6224167394788489,5.400780203003885,0.8138456093200979,10.174928228915155,0.2943313241383678,1.047717631200858,1
304,8.1,540,7.521465325214378,0.5409706830772371,0.6102308457506451,5.365337221131651,0.6227523149715062,5.40356191291842,0.8135437894800868,10.178249871731106,0.2936782839534875,1.047682695971817,1
304,8.1,540,7.521486045307961,0.5409642555807718,0.6102141410462135,5.360586740328878,0.6230878904641635,5.406343622832955,0.8132419696400757,10.181571514547059,0.29302524376860717,1.0476477607427759,1
304,8.1,540,7.521506765401544,0.5409578280843065,0.6101974363417819,5.355836259526105,0.6234234659568207,5.4091253327474895,0.8129401498000645,10.18489315736301,0.29237220358372684,1.0476128255137347,1
304,8.1,541,7.521527485495127,0.5409514005878412,0.6101807316373503,5.3510857787233315,0.623759041449478,5.411907042662024,0.8126383299600534,10.188214800178963,0.2917191633988465,1.0475778902846935,1
304,8.1,541,7.52154820558871,0.5409449730913759,0.6101640269329187,5.346335297920558,0.6240946169421354,5.414688752576559,0.8123365101200422,10.191536442994915,0.2910661232139662,1.0475429550556525,1
305,8.1,541,7.521568925682292,0.5409385455949106,0.6101473222284871,5.341584817117786,0.6244301924347927,5.417470462491094,0.8120346902800311,10.194858085810868,0.29041308302908586,1.0475080198266113,1
305,8.1,541,7.521589645775875,0.5409321180984453,0.6101306175240555,5.336834336315013,0.62476576792745,5.420252172405629,0.81173287044002,10.198179728626819,0.28976004284420553,1.0474730845975702,1
305,8.1,541,7.521610365869458,0.54092569060198,0.6101139128196239,5.33208385551224,0.6251013434201073,5.423033882320164,0.8114310506000089,10.201501371442772,0.2891070026593252,1.0474381493685292,1
305,8.1,541,7.52163108596304,0.5409192631055147,0.6100972081151924,5.327333374709466,0.6254369189127647,5.425815592234699,0.8111292307599977,10.204823014258725,0.2884539624744449,1.047403214139488,1
305,8.1,541,7.5216518060566235,0.5409128356090495,0.6100805034107608,5.322582893906693,0.6257724944054219,5.4285973021492335,0.8108274109199864,10.208144657074676,0.28780092228956455,1.0473682789104468,1
305,8.1,541,7.521672526150206,0.5409064081125842,0.6100637987063292,5.31783241310392,0.6261080698980792,5.431379012063768,0.8105255910799753,10.211466299890628,0.2871478821046842,1.0473333436814056,1
305,8.1,541,7.521693246243789,0.5408999806161189,0.6100470940018976,5.313081932301147,0.6264436453907365,5.434160721978303,0.8102237712399643,10.21478794270658,0.2864948419198039,1.0472984084523647,1
305,8.1,541,7.521713966337372,0.5408935531196536,0.610030389297466,5.308331451498374,0.6267792208833938,5.436942431892838,0.8099219513999532,10.218109585522534,0.2858418017349236,1.0472634732233235,1
306,8.1,541,7.521734686430954,0.5408871256231884,0.6100136845930344,5.3035809706956005,0.627114796376051,5.439724141807373,0.8096201315599421,10.221431228338485,0.28518876155004325,1.0472285379942823,1
306,8.1,541,7.521755406524537,0.5408806981267231,0.6099969798886028,5.298830489892827,0.6274503718687083,5.442505851721909,0.8093183117199308,10.224752871154438,0.2845357213651629,1.0471936027652413,1
306,8.1,542,7.52177612661812,0.5408742706302578,0.6099802751841712,5.294080009090054,0.6277859473613656,5.445287561636444,0.8090164918799196,10.22807451397039,0.2838826811802826,1.0471586675362001,1
306,8.1,542,7.521796846711703,0.5408678431337925,0.6099635704797396,5.289329528287281,0.6281215228540229,5.448069271550978,0.8087146720399085,10.231396156786342,0.28322964099540227,1.047123732307159,1
306,8.1,542,7.521817566805286,0.5408614156373273,0.609946865775308,5.284579047484508,0.6284570983466802,5.450850981465513,0.8084128521998974,10.234717799602294,0.28257660081052194,1.0470887970781178,1
306,8.1,542,7.521838286898868,0.540854988140862,0.6099301610708765,5.279828566681735,0.6287926738393375,5.453632691380048,0.8081110323598863,10.238039442418247,0.2819235606256415,1.0470538618490768,1
306,8.1,542,7.521859006992451,0.5408485606443967,0.6099134563664449,5.275078085878961,0.6291282493319947,5.456414401294583,0.8078092125198753,10.2413610852342,0.2812705204407612,1.0470189266200356,1
306,8.1,542,7.521879727086034,0.5408421331479314,0.6098967516620133,5.270327605076188,0.6294638248246521,5.459196111209118,0.807507392679864,10.244682728050151,0.28061748025588085,1.0469839913909944,1
307,8.1,542,7.5219004471796165,0.5408357056514661,0.6098800469575817,5.265577124273415,0.6297994003173094,5.461977821123653,0.8072055728398528,10.248004370866102,0.2799644400710005,1.0469490561619532,1
307,8.1,542,7.5219211672732,0.5408292781550008,0.6098633422531501,5.260826643470642,0.6301349758099667,5.4647595310381885,0.8069037529998417,10.251326013682055,0.2793113998861202,1.0469141209329123,1
307,8.1,542,7.521941887366782,0.5408228506585355,0.6098466375487185,5.25607616266787,0.630470551302624,5.467541240952723,0.8066019331598306,10.254647656498008,0.27865835970123987,1.046879185703871,1
307,8.1,542,7.521962607460365,0.5408164231620702,0.6098299328442869,5.251325681865096,0.6308061267952814,5.470322950867258,0.8063001133198195,10.25796929931396,0.27800531951635954,1.0468442504748299,1
307,8.1,542,7.521983327553948,0.540809995665605,0.6098132281398553,5.246575201062323,0.6311417022879386,5.473104660781793,0.8059982934798083,10.26129094212991,0.2773522793314792,1.0468093152457887,1
307,8.1,543,7.52200404764753,0.5408035681691397,0.6097965234354237,5.24182472025955,0.6314772777805959,5.475886370696328,0.8056964736397972,10.264612584945864,0.2766992391465989,1.0467743800167477,1
307,8.1,543,7.522024767741113,0.5407971406726744,0.6097798187309921,5.237074239456777,0.6318128532732532,5.478668080610863,0.805394653799786,10.267934227761817,0.27604619896171856,1.0467394447877065,1
307,8.1,543,7.522045487834696,0.5407907131762091,0.6097631140265606,5.232323758654004,0.6321484287659105,5.481449790525398,0.8050928339597749,10.271255870577768,0.27539315877683823,1.0467045095586653,1
308,8.1,543,7.522066207928279,0.5407842856797438,0.609746409322129,5.2275732778512305,0.6324840042585678,5.4842315004399325,0.8047910141197638,10.274577513393721,0.2747401185919579,1.0466695743296244,1
308,8.1,543,7.522086928021862,0.5407778581832785,0.6097297046176974,5.222822797048457,0.632819579751225,5.487013210354467,0.8044891942797527,10.277899156209672,0.2740870784070776,1.0466346391005832,1
308,8.1,543,7.522107648115444,0.5407714306868132,0.6097129999132658,5.218072316245684,0.6331551552438823,5.489794920269002,0.8041873744397415,10.281220799025625,0.27343403822219725,1.046599703871542,1
308,8.1,543,7.522128368209027,0.5407650031903479,0.6096962952088342,5.213321835442911,0.6334907307365396,5.492576630183537,0.8038855545997304,10.284542441841577,0.2727809980373169,1.0465647686425008,1
308,8.1,543,7.522149088302609,0.5407585756938826,0.6096795905044026,5.208571354640138,0.6338263062291969,5.495358340098072,0.8035837347597192,10.28786408465753,0.2721279578524366,1.0465298334134598,1
308,8.1,543,7.5221698083961925,0.5407521481974173,0.609662885799971,5.203820873837365,0.6341618817218542,5.498140050012607,0.8032819149197081,10.291185727473483,0.27147491766755627,1.0464948981844187,1
308,8.1,543,7.522190528489776,0.5407457207009522,0.6096461810955394,5.199070393034591,0.6344974572145115,5.500921759927142,0.802980095079697,10.294507370289434,0.27082187748267594,1.0464599629553775,1
308,8.1,543,7.522211248583358,0.5407392932044869,0.6096294763911078,5.194319912231818,0.6348330327071688,5.5037034698416765,0.8026782752396859,10.297829013105385,0.2701688372977956,1.0464250277263365,1
309,8.1,543,7.522231968676941,0.5407328657080216,0.6096127716866762,5.189569431429045,0.6351686081998261,5.506485179756211,0.8023764553996747,10.301150655921338,0.2695157971129153,1.0463900924972953,1
309,8.1,544,7.522252688770523,0.5407264382115563,0.6095960669822447,5.184818950626272,0.6355041836924834,5.509266889670746,0.8020746355596636,10.304472298737291,0.26886275692803496,1.0463551572682541,1
309,8.1,544,7.522273408864106,0.540720010715091,0.6095793622778131,5.180068469823499,0.6358397591851408,5.512048599585281,0.8017728157196524,10.307793941553243,0.26820971674315464,1.046320222039213,1
309,8.1,544,7.5222941289576895,0.5407135832186257,0.6095626575733815,5.1753179890207255,0.6361753346777981,5.514830309499816,0.8014709958796413,10.311115584369194,0.2675566765582743,1.046285286810172,1
309,8.1,544,7.522314849051272,0.5407071557221604,0.6095459528689499,5.170567508217953,0.6365109101704554,5.517612019414351,0.8011691760396302,10.314437227185147,0.266903636373394,1.0462503515811308,1
309,8.1,544,7.522335569144855,0.5407007282256951,0.6095292481645183,5.16581702741518,0.6368464856631126,5.520393729328886,0.8008673561996191,10.3177588700011,0.26625059618851366,1.0462154163520896,1
309,8.1,544,7.522356289238438,0.5406943007292299,0.6095125434600867,5.161066546612407,0.6371820611557699,5.5231754392434205,0.8005655363596079,10.321080512817051,0.26559755600363333,1.0461804811230484,1
309,8.1,544,7.52237700933202,0.5406878732327646,0.609495838755655,5.156316065809634,0.6375176366484272,5.525957149157956,0.8002637165195967,10.324402155633004,0.264944515818753,1.0461455458940074,1
310,8.1,544,7.522397729425603,0.5406814457362993,0.6094791340512234,5.1515655850068605,0.6378532121410845,5.528738859072491,0.7999618966795856,10.327723798448956,0.2642914756338727,1.0461106106649662,1
310,8.1,544,7.5224184495191855,0.540675018239834,0.6094624293467918,5.146815104204087,0.6381887876337418,5.531520568987026,0.7996600768395745,10.331045441264909,0.26363843544899235,1.046075675435925,1
310,8.1,544,7.522439169612769,0.5406685907433687,0.6094457246423602,5.142064623401314,0.638524363126399,5.534302278901561,0.7993582569995634,10.33436708408086,0.262985395264112,1.0460407402068839,1
310,8.1,544,7.522459889706352,0.5406621632469034,0.6094290199379288,5.137314142598541,0.6388599386190563,5.537083988816096,0.7990564371595523,10.337688726896813,0.2623323550792316,1.046005804977843,1
310,8.1,545,7.522480609799934,0.5406557357504381,0.6094123152334971,5.132563661795768,0.6391955141117136,5.5398656987306305,0.7987546173195411,10.341010369712766,0.26167931489435126,1.0459708697488017,1
310,8.1,545,7.522501329893517,0.5406493082539728,0.6093956105290655,5.1278131809929945,0.6395310896043709,5.542647408645165,0.7984527974795299,10.344332012528717,0.26102627470947093,1.0459359345197605,1
310,8.1,545,7.522522049987099,0.5406428807575075,0.6093789058246339,5.123062700190221,0.6398666650970283,5.5454291185597,0.7981509776395188,10.347653655344669,0.2603732345245906,1.0459009992907196,1
310,8.1,545,7.522542770080682,0.5406364532610423,0.6093622011202023,5.118312219387448,0.6402022405896856,5.548210828474236,0.7978491577995077,10.350975298160622,0.2597201943397103,1.0458660640616784,1
311,8.1,545,7.5225634901742655,0.540630025764577,0.6093454964157707,5.113561738584675,0.6405378160823428,5.550992538388771,0.7975473379594966,10.354296940976575,0.25906715415482995,1.0458311288326372,1
311,8.1,545,7.522584210267848,0.5406235982681117,0.6093287917113391,5.108811257781902,0.6408733915750001,5.553774248303306,0.7972455181194855,10.357618583792526,0.2584141139699496,1.045796193603596,1
311,8.1,545,7.522604930361431,0.5406171707716464,0.6093120870069075,5.104060776979129,0.6412089670676575,5.5565559582178405,0.7969436982794743,10.360940226608479,0.2577610737850693,1.045761258374555,1
311,8.1,545,7.522625650455013,0.5406107432751811,0.6092953823024759,5.0993102961763555,0.6415445425603148,5.559337668132375,0.7966418784394631,10.36426186942443,0.25710803360018897,1.0457263231455138,1
311,8.1,545,7.522646370548596,0.5406043157787159,0.6092786775980443,5.094559815373582,0.6418801180529721,5.56211937804691,0.796340058599452,10.367583512240383,0.25645499341530864,1.0456913879164726,1
311,8.1,545,7.522667090642179,0.5405978882822506,0.6092619728936128,5.089809334570809,0.6422156935456294,5.564901087961445,0.7960382387594409,10.370905155056334,0.2558019532304283,1.0456564526874317,1
311,8.1,545,7.5226878107357615,0.5405914607857853,0.6092452681891812,5.085058853768036,0.6425512690382866,5.56768279787598,0.7957364189194298,10.374226797872288,0.255148913045548,1.0456215174583905,1
311,8.1,545,7.522708530829345,0.5405850332893201,0.6092285634847496,5.080308372965264,0.6428868445309439,5.570464507790515,0.7954345990794186,10.377548440688239,0.25449587286066766,1.0455865822293493,1
312,8.1,546,7.522729250922928,0.5405786057928548,0.609211858780318,5.07555789216249,0.6432224200236012,5.57324621770505,0.7951327792394075,10.380870083504192,0.25384283267578733,1.0455516470003081,1
312,8.1,546,7.52274997101651,0.5405721782963895,0.6091951540758864,5.070807411359717,0.6435579955162585,5.5760279276195845,0.7948309593993963,10.384191726320143,0.253189792490907,1.0455167117712671,1
312,8.1,546,7.522770691110093,0.5405657507999242,0.6091784493714548,5.066056930556944,0.6438935710089158,5.578809637534119,0.7945291395593852,10.387513369136096,0.2525367523060267,1.045481776542226,1
312,8.1,546,7.522791411203675,0.5405593233034589,0.6091617446670232,5.061306449754171,0.644229146501573,5.581591347448654,0.7942273197193741,10.39083501195205,0.25188371212114635,1.0454468413131848,1
312,8.1,546,7.5228121312972585,0.5405528958069936,0.6091450399625916,5.056555968951398,0.6445647219942303,5.584373057363189,0.793925499879363,10.394156654768,0.251230671936266,1.0454119060841436,1
312,8.1,546,7.522832851390842,0.5405464683105283,0.60912833525816,5.0518054881486245,0.6449002974868876,5.587154767277724,0.7936236800393518,10.397478297583952,0.2505776317513857,1.0453769708551026,1
312,8.1,546,7.522853571484424,0.540540040814063,0.6091116305537284,5.047055007345851,0.645235872979545,5.589936477192259,0.7933218601993407,10.400799940399905,0.24992459156650537,1.0453420356260614,1
312,8.1,546,7.522874291578007,0.5405336133175977,0.6090949258492969,5.042304526543078,0.6455714484722023,5.592718187106794,0.7930200403593295,10.404121583215858,0.24927155138162504,1.0453071003970202,1
313,8.1,546,7.522895011671589,0.5405271858211325,0.6090782211448653,5.037554045740305,0.6459070239648596,5.5954998970213286,0.7927182205193184,10.407443226031809,0.24861851119674472,1.045272165167979,1
313,8.1,546,7.522915731765172,0.5405207583246672,0.6090615164404337,5.032803564937532,0.6462425994575168,5.598281606935863,0.7924164006793073,10.410764868847762,0.2479654710118644,1.045237229938938,1
313,8.1,546,7.522936451858755,0.5405143308282019,0.6090448117360021,5.028053084134759,0.6465781749501742,5.601063316850398,0.7921145808392962,10.414086511663713,0.24731243082698406,1.045202294709897,1
313,8.1,546,7.522957171952338,0.5405079033317366,0.6090281070315705,5.023302603331985,0.6469137504428315,5.603845026764933,0.791812760999285,10.417408154479666,0.24665939064210374,1.0451673594808557,1
313,8.1,547,7.522977892045921,0.5405014758352713,0.6090114023271389,5.018552122529212,0.6472493259354888,5.606626736679468,0.7915109411592738,10.420729797295618,0.2460063504572234,1.0451324242518147,1
313,8.1,547,7.522998612139503,0.540495048338806,0.6089946976227073,5.013801641726439,0.6475849014281461,5.609408446594003,0.7912091213192627,10.42405144011157,0.24535331027234308,1.0450974890227736,1
313,8.1,547,7.523019332233086,0.5404886208423407,0.6089779929182757,5.009051160923666,0.6479204769208033,5.612190156508539,0.7909073014792516,10.427373082927522,0.24470027008746276,1.0450625537937324,1
313,8.1,547,7.523040052326669,0.5404821933458754,0.6089612882138441,5.004300680120893,0.6482560524134606,5.614971866423073,0.7906054816392405,10.430694725743475,0.24404722990258243,1.0450276185646912,1
314,8.1,547,7.523060772420251,0.5404757658494102,0.6089445835094125,4.9995501993181195,0.6485916279061179,5.617753576337608,0.7903036617992294,10.434016368559426,0.2433941897177021,1.0449926833356502,1
314,8.1,547,7.5230814925138345,0.5404693383529449,0.608927878804981,4.994799718515347,0.6489272033987752,5.620535286252143,0.7900018419592182,10.43733801137538,0.24274114953282167,1.044957748106609,1
314,8.1,547,7.523102212607418,0.5404629108564797,0.6089111741005494,4.990049237712574,0.6492627788914325,5.623316996166678,0.789700022119207,10.440659654191332,0.24208810934794134,1.0449228128775678,1
314,8.1,547,7.523122932701,0.5404564833600144,0.6088944693961178,4.985298756909801,0.6495983543840897,5.626098706081213,0.7893982022791959,10.443981297007284,0.241435069163061,1.0448878776485269,1
314,8.1,547,7.523143652794583,0.5404500558635491,0.6088777646916862,4.980548276107028,0.649933929876747,5.628880415995748,0.7890963824391848,10.447302939823235,0.24078202897818068,1.0448529424194857,1
314,8.1,547,7.523164372888165,0.5404436283670838,0.6088610599872546,4.9757977953042545,0.6502695053694044,5.6316621259102835,0.7887945625991737,10.450624582639188,0.24012898879330036,1.0448180071904445,1
314,8.1,547,7.523185092981748,0.5404372008706185,0.608844355282823,4.971047314501481,0.6506050808620617,5.634443835824818,0.7884927427591626,10.453946225455141,0.23947594860842003,1.0447830719614033,1
314,8.1,548,7.523205813075331,0.5404307733741532,0.6088276505783914,4.966296833698708,0.650940656354719,5.637225545739353,0.7881909229191514,10.457267868271092,0.2388229084235397,1.0447481367323623,1
315,8.1,548,7.523226533168914,0.540424345877688,0.6088109458739598,4.961546352895935,0.6512762318473763,5.640007255653888,0.7878891030791402,10.460589511087045,0.23816986823865938,1.0447132015033211,1
315,8.1,548,7.523247253262497,0.5404179183812227,0.6087942411695282,4.956795872093162,0.6516118073400337,5.642788965568423,0.7875872832391291,10.463911153902997,0.23751682805377905,1.04467826627428,1
315,8.1,548,7.523267973356079,0.5404114908847574,0.6087775364650966,4.952045391290389,0.6519473828326909,5.645570675482958,0.787285463399118,10.46723279671895,0.23686378786889872,1.0446433310452388,1
315,8.1,548,7.523288693449662,0.5404050633882921,0.6087608317606651,4.947294910487615,0.6522829583253482,5.648352385397493,0.7869836435591069,10.4705544395349,0.2362107476840184,1.0446083958161978,1
315,8.1,548,7.523309413543245,0.5403986358918268,0.6087441270562335,4.942544429684842,0.6526185338180055,5.6511340953120275,0.7866818237190957,10.473876082350854,0.23555770749913807,1.0445734605871566,1
315,8.1,548,7.5233301336368275,0.5403922083953615,0.6087274223518019,4.937793948882069,0.6529541093106628,5.653915805226562,0.7863800038790846,10.477197725166805,0.23490466731425774,1.0445385253581154,1
315,8.1,548,7.523350853730411,0.5403857808988962,0.6087107176473703,4.933043468079296,0.6532896848033201,5.656697515141097,0.7860781840390734,10.480519367982758,0.23425162712937742,1.0445035901290742,1
315,8.1,548,7.523371573823993,0.5403793534024309,0.6086940129429387,4.928292987276523,0.6536252602959773,5.659479225055632,0.7857763641990623,10.48384101079871,0.2335985869444971,1.0444686549000333,1
316,8.1,548,7.523392293917576,0.5403729259059656,0.6086773082385071,4.9235425064737495,0.6539608357886346,5.662260934970167,0.7854745443590512,10.487162653614662,0.23294554675961676,1.044433719670992,1
316,8.1,548,7.523413014011159,0.5403664984095004,0.6086606035340755,4.918792025670976,0.6542964112812919,5.665042644884702,0.7851727245190401,10.490484296430616,0.23229250657473643,1.044398784441951,1
316,8.1,548,7.523433734104741,0.5403600709130351,0.6086438988296439,4.914041544868203,0.6546319867739492,5.667824354799237,0.7848709046790289,10.493805939246567,0.2316394663898561,1.04436384921291,1
316,8.1,549,7.523454454198324,0.5403536434165698,0.6086271941252123,4.909291064065431,0.6549675622666065,5.6706060647137715,0.7845690848390178,10.497127582062518,0.23098642620497578,1.0443289139838687,1
